game_id,date,away_team,home_team,possessing_team,forechecking_team,start_event_idx,end_event_idx,start_elapsed_seconds,end_elapsed_seconds,duration_seconds,start_period_label,end_period_label,start_clock,end_clock,start_event,end_event,start_x,start_y,end_x,end_y,outcome,turnover_in_dzone,forced_dump_out,controlled_exit_allowed,stoppage,timeout,exit_lane,start_is_5v5,episode_id
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team D,Team A,127,129,230.0,233.0,3.0,1,1,16:10,16:07,Puck Recovery,Takeaway,-77.0,32.5,-33.0,20.5,turnover_in_dzone,1,0,0,0,0,boards_positive,1,2025-10-11.Team.A.@.Team.D__0014
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team D,Team A,131,135,237.0,244.0,7.0,1,1,16:03,15:56,Faceoff Win,Zone Entry,-69.0,-21.5,25.0,38.5,controlled_exit_allowed,0,0,1,0,0,boards_positive,1,2025-10-11.Team.A.@.Team.D__0015
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,137,139,248.0,253.0,5.0,1,1,15:52,15:47,Puck Recovery,Zone Entry,63.0,-37.5,-25.0,-38.5,controlled_exit_allowed,0,0,1,0,0,boards_negative,1,2025-10-11.Team.A.@.Team.D__0016
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team D,Team A,141,145,258.0,266.0,8.0,1,1,15:42,15:34,Puck Recovery,Dump In/Out,-66.0,-33.5,-52.0,-35.5,forced_dump_out,0,1,0,0,0,boards_negative,1,2025-10-11.Team.A.@.Team.D__0017
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,146,148,270.0,275.0,5.0,1,1,15:30,15:25,Puck Recovery,Play,58.0,31.5,0.0,-34.5,controlled_exit_allowed,0,0,1,0,0,boards_negative,1,2025-10-11.Team.A.@.Team.D__0018
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team D,Team A,150,154,278.0,283.0,5.0,1,1,15:22,15:17,Puck Recovery,Play,-83.0,-27.5,9.0,-25.5,controlled_exit_allowed,0,0,1,0,0,boards_negative,1,2025-10-11.Team.A.@.Team.D__0019
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,161,172,299.0,321.0,22.0,1,1,15:01,14:39,Takeaway,Play,93.0,25.5,6.0,38.5,controlled_exit_allowed,0,0,1,0,0,boards_positive,1,2025-10-11.Team.A.@.Team.D__0020
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,179,181,339.0,340.0,1.0,1,1,14:21,14:20,Puck Recovery,Takeaway,92.0,25.5,97.0,3.5,turnover_in_dzone,1,0,0,0,0,middle,1,2025-10-11.Team.A.@.Team.D__0021
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,242,245,473.0,478.0,5.0,1,1,12:07,12:02,Puck Recovery,Incomplete Play,86.0,-6.5,-21.0,23.5,controlled_exit_allowed,0,0,1,0,0,boards_positive,1,2025-10-11.Team.A.@.Team.D__0022
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,281,283,542.0,545.0,3.0,1,1,10:58,10:55,Puck Recovery,Puck Recovery,74.0,11.5,31.0,7.5,turnover_in_dzone,1,0,0,0,0,middle,1,2025-10-11.Team.A.@.Team.D__0023
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,294,297,565.0,569.0,4.0,1,1,10:35,10:31,Puck Recovery,Incomplete Play,90.0,29.5,4.0,24.5,controlled_exit_allowed,0,0,1,0,0,boards_positive,1,2025-10-11.Team.A.@.Team.D__0024
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team D,Team A,298,300,570.0,575.0,5.0,1,1,10:30,10:25,Puck Recovery,Dump In/Out,-36.0,25.5,8.0,-39.5,forced_dump_out,0,1,0,0,0,boards_negative,1,2025-10-11.Team.A.@.Team.D__0025
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,302,305,577.0,582.0,5.0,1,1,10:23,10:18,Puck Recovery,Takeaway,79.0,37.5,48.0,-39.5,turnover_in_dzone,1,0,0,0,0,boards_negative,1,2025-10-11.Team.A.@.Team.D__0026
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,307,309,587.0,590.0,3.0,1,1,10:13,10:10,Faceoff Win,Dump In/Out,69.0,-21.5,54.0,-35.5,forced_dump_out,0,1,0,0,0,boards_negative,1,2025-10-11.Team.A.@.Team.D__0027
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,310,314,594.0,598.0,4.0,1,1,10:06,10:02,Faceoff Win,Puck Recovery,69.0,22.5,50.0,-32.5,turnover_in_dzone,1,0,0,0,0,boards_negative,1,2025-10-11.Team.A.@.Team.D__0028
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,317,318,607.0,607.0,0.0,1,1,09:53,09:53,Puck Recovery,Dump In/Out,59.0,-26.5,59.0,-26.5,forced_dump_out,0,1,0,0,0,boards_negative,1,2025-10-11.Team.A.@.Team.D__0029
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team D,Team A,334,335,635.0,639.0,4.0,1,1,09:25,09:21,Puck Recovery,Dump In/Out,-71.0,27.5,2.0,40.5,forced_dump_out,0,1,0,0,0,boards_positive,1,2025-10-11.Team.A.@.Team.D__0030
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,343,351,656.0,672.0,16.0,1,1,09:04,08:48,Faceoff Win,Play,69.0,-21.5,-6.0,-26.5,controlled_exit_allowed,0,0,1,0,0,boards_negative,1,2025-10-11.Team.A.@.Team.D__0031
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team D,Team A,354,357,675.0,681.0,6.0,1,1,08:45,08:39,Faceoff Win,Zone Entry,-69.0,22.5,25.0,-38.5,controlled_exit_allowed,0,0,1,0,0,boards_negative,1,2025-10-11.Team.A.@.Team.D__0032
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,372,374,704.0,708.0,4.0,1,1,08:16,08:12,Takeaway,Play,84.0,-4.5,-8.0,1.5,controlled_exit_allowed,0,0,1,0,0,middle,1,2025-10-11.Team.A.@.Team.D__0033
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team D,Team A,377,379,709.0,713.0,4.0,1,1,08:11,08:07,Puck Recovery,Incomplete Play,-37.0,-20.5,-18.0,-38.5,controlled_exit_allowed,0,0,1,0,0,boards_negative,1,2025-10-11.Team.A.@.Team.D__0034
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,380,382,716.0,720.0,4.0,1,1,08:04,08:00,Puck Recovery,Dump In/Out,37.0,31.5,-8.0,-36.5,forced_dump_out,0,1,0,0,0,boards_negative,1,2025-10-11.Team.A.@.Team.D__0035
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team D,Team A,398,401,745.0,751.0,6.0,1,1,07:35,07:29,Puck Recovery,Dump In/Out,-93.0,24.5,-68.0,-37.5,forced_dump_out,0,1,0,0,0,boards_negative,1,2025-10-11.Team.A.@.Team.D__0036
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team D,Team A,411,420,776.0,791.0,15.0,1,1,07:04,06:49,Faceoff Win,Puck Recovery,-69.0,22.5,-96.0,-20.5,turnover_in_dzone,1,0,0,0,0,boards_negative,1,2025-10-11.Team.A.@.Team.D__0037
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team D,Team A,423,425,801.0,806.0,5.0,1,1,06:39,06:34,Puck Recovery,Faceoff Win,-63.0,-35.5,-69.0,-21.5,turnover_in_dzone,1,0,0,0,0,boards_negative,1,2025-10-11.Team.A.@.Team.D__0038
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,443,445,830.0,832.0,2.0,1,1,06:10,06:08,Puck Recovery,Zone Entry,75.0,-25.5,-26.0,-36.5,controlled_exit_allowed,0,0,1,0,0,boards_negative,1,2025-10-11.Team.A.@.Team.D__0039
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team D,Team A,459,460,863.0,864.0,1.0,1,1,05:37,05:36,Puck Recovery,Puck Recovery,-30.0,12.5,-30.0,15.5,turnover_in_dzone,1,0,0,0,0,boards_positive,1,2025-10-11.Team.A.@.Team.D__0040
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team D,Team A,463,466,870.0,879.0,9.0,1,1,05:30,05:21,Puck Recovery,Dump In/Out,-93.0,20.5,11.0,-29.5,forced_dump_out,0,1,0,0,0,boards_negative,1,2025-10-11.Team.A.@.Team.D__0041
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,468,473,882.0,892.0,10.0,1,1,05:18,05:08,Puck Recovery,Zone Entry,94.0,-17.5,-25.0,-29.5,controlled_exit_allowed,0,0,1,0,0,boards_negative,1,2025-10-11.Team.A.@.Team.D__0042
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team D,Team A,475,476,901.0,902.0,1.0,1,1,04:59,04:58,Puck Recovery,Dump In/Out,-88.0,18.5,-93.0,15.5,forced_dump_out,0,1,0,0,0,boards_positive,1,2025-10-11.Team.A.@.Team.D__0043
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team D,Team A,483,486,918.0,921.0,3.0,1,1,04:42,04:39,Takeaway,Puck Recovery,-79.0,-36.5,-41.0,-37.5,turnover_in_dzone,1,0,0,0,0,boards_negative,1,2025-10-11.Team.A.@.Team.D__0044
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team D,Team A,493,494,929.0,931.0,2.0,1,1,04:31,04:29,Puck Recovery,Dump In/Out,-53.0,3.5,-39.0,34.5,forced_dump_out,0,1,0,0,0,boards_positive,1,2025-10-11.Team.A.@.Team.D__0045
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team D,Team A,498,510,941.0,966.0,25.0,1,1,04:19,03:54,Puck Recovery,Dump In/Out,-80.0,35.5,-77.0,0.5,forced_dump_out,0,1,0,0,0,middle,1,2025-10-11.Team.A.@.Team.D__0046
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,501,503,949.0,952.0,3.0,1,1,04:11,04:08,Puck Recovery,Puck Recovery,92.0,13.5,74.0,39.5,turnover_in_dzone,1,0,0,0,0,boards_positive,1,2025-10-11.Team.A.@.Team.D__0047
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,504,505,953.0,956.0,3.0,1,1,04:07,04:04,Takeaway,Play,54.0,40.5,10.0,37.5,controlled_exit_allowed,0,0,1,0,0,boards_positive,1,2025-10-11.Team.A.@.Team.D__0048
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team D,Team A,509,510,966.0,966.0,0.0,1,1,03:54,03:54,Puck Recovery,Dump In/Out,-77.0,0.5,-77.0,0.5,forced_dump_out,0,1,0,0,0,middle,1,2025-10-11.Team.A.@.Team.D__0049
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team D,Team A,511,515,970.0,974.0,4.0,1,1,03:50,03:46,Faceoff Win,Puck Recovery,-69.0,-21.5,-52.0,-37.5,turnover_in_dzone,1,0,0,0,0,boards_negative,1,2025-10-11.Team.A.@.Team.D__0050
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,525,529,994.0,1002.0,8.0,1,1,03:26,03:18,Faceoff Win,Dump In/Out,69.0,22.5,82.0,-33.5,forced_dump_out,0,1,0,0,0,boards_negative,1,2025-10-11.Team.A.@.Team.D__0051
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,551,556,1043.0,1048.0,5.0,1,1,02:37,02:32,Puck Recovery,Takeaway,85.0,32.5,36.0,-37.5,turnover_in_dzone,1,0,0,0,0,boards_negative,1,2025-10-11.Team.A.@.Team.D__0052
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,554,556,1047.0,1048.0,1.0,1,1,02:33,02:32,Puck Recovery,Takeaway,83.0,-31.5,36.0,-37.5,turnover_in_dzone,1,0,0,0,0,boards_negative,1,2025-10-11.Team.A.@.Team.D__0053
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,559,566,1056.0,1070.0,14.0,1,1,02:24,02:10,Puck Recovery,Puck Recovery,94.0,-16.5,86.0,-5.5,turnover_in_dzone,1,0,0,0,0,middle,1,2025-10-11.Team.A.@.Team.D__0054
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team D,Team A,636,639,1206.0,1212.0,6.0,2,2,19:54,19:48,Puck Recovery,Incomplete Play,91.0,-17.5,13.0,37.5,controlled_exit_allowed,0,0,1,0,0,boards_positive,1,2025-10-11.Team.A.@.Team.D__0055
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team D,Team A,644,645,1220.0,1222.0,2.0,2,2,19:40,19:38,Puck Recovery,Takeaway,91.0,-22.5,91.0,-26.5,turnover_in_dzone,1,0,0,0,0,boards_negative,1,2025-10-11.Team.A.@.Team.D__0056
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,708,709,1362.0,1362.0,0.0,2,2,17:18,17:18,Puck Recovery,Dump In/Out,-76.0,0.5,-76.0,0.5,forced_dump_out,0,1,0,0,0,middle,1,2025-10-11.Team.A.@.Team.D__0057
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,713,715,1369.0,1372.0,3.0,2,2,17:11,17:08,Puck Recovery,Dump In/Out,-93.0,-8.5,-48.0,-38.5,forced_dump_out,0,1,0,0,0,boards_negative,1,2025-10-11.Team.A.@.Team.D__0058
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team D,Team A,716,726,1375.0,1394.0,19.0,2,2,17:05,16:46,Puck Recovery,Faceoff Win,53.0,-36.5,69.0,22.5,turnover_in_dzone,1,0,0,0,0,boards_positive,1,2025-10-11.Team.A.@.Team.D__0059
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team D,Team A,720,726,1382.0,1394.0,12.0,2,2,16:58,16:46,Puck Recovery,Faceoff Win,97.0,-0.5,69.0,22.5,turnover_in_dzone,1,0,0,0,0,boards_positive,1,2025-10-11.Team.A.@.Team.D__0060
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team D,Team A,730,732,1400.0,1403.0,3.0,2,2,16:40,16:37,Takeaway,Dump In/Out,95.0,4.5,51.0,40.5,forced_dump_out,0,1,0,0,0,boards_positive,1,2025-10-11.Team.A.@.Team.D__0061
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,737,740,1409.0,1413.0,4.0,2,2,16:31,16:27,Puck Recovery,Zone Entry,-78.0,38.5,24.0,38.5,controlled_exit_allowed,0,0,1,0,0,boards_positive,1,2025-10-11.Team.A.@.Team.D__0062
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team D,Team A,743,744,1423.0,1424.0,1.0,2,2,16:17,16:16,Puck Recovery,Puck Recovery,90.0,-19.5,92.0,-19.5,turnover_in_dzone,1,0,0,0,0,boards_negative,1,2025-10-11.Team.A.@.Team.D__0063
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team D,Team A,746,748,1434.0,1436.0,2.0,2,2,16:06,16:04,Takeaway,Zone Entry,73.0,39.5,-25.0,36.5,controlled_exit_allowed,0,0,1,0,0,boards_positive,1,2025-10-11.Team.A.@.Team.D__0064
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,754,765,1447.0,1460.0,13.0,2,2,15:53,15:40,Puck Recovery,Zone Entry,-56.0,-36.5,24.0,-35.5,controlled_exit_allowed,0,0,1,0,0,boards_negative,1,2025-10-11.Team.A.@.Team.D__0065
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team D,Team A,776,778,1478.0,1482.0,4.0,2,2,15:22,15:18,Takeaway,Play,92.0,-26.5,-8.0,-0.5,controlled_exit_allowed,0,0,1,0,0,middle,1,2025-10-11.Team.A.@.Team.D__0066
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,781,791,1487.0,1507.0,20.0,2,2,15:13,14:53,Puck Recovery,Puck Recovery,-87.0,15.5,-94.0,-0.5,turnover_in_dzone,1,0,0,0,0,middle,1,2025-10-11.Team.A.@.Team.D__0067
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,798,805,1523.0,1534.0,11.0,2,2,14:37,14:26,Puck Recovery,Puck Recovery,-97.0,-12.5,-62.0,40.5,turnover_in_dzone,1,0,0,0,0,boards_positive,1,2025-10-11.Team.A.@.Team.D__0068
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,807,809,1539.0,1541.0,2.0,2,2,14:21,14:19,Puck Recovery,Dump In/Out,-95.0,8.5,-67.0,-26.5,forced_dump_out,0,1,0,0,0,boards_negative,1,2025-10-11.Team.A.@.Team.D__0069
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,812,815,1545.0,1546.0,1.0,2,2,14:15,14:14,Puck Recovery,Puck Recovery,-84.0,-8.5,-74.0,-38.5,turnover_in_dzone,1,0,0,0,0,boards_negative,1,2025-10-11.Team.A.@.Team.D__0070
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,826,831,1566.0,1578.0,12.0,2,2,13:54,13:42,Takeaway,Play,-94.0,12.5,78.0,-35.5,controlled_exit_allowed,0,0,1,0,0,boards_negative,1,2025-10-11.Team.A.@.Team.D__0071
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team D,Team A,838,839,1591.0,1592.0,1.0,2,2,13:29,13:28,Puck Recovery,Dump In/Out,82.0,-12.5,80.0,-11.5,forced_dump_out,0,1,0,0,0,middle,1,2025-10-11.Team.A.@.Team.D__0072
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team D,Team A,850,853,1612.0,1619.0,7.0,2,2,13:08,13:01,Takeaway,Zone Entry,94.0,-8.5,-26.0,-34.5,controlled_exit_allowed,0,0,1,0,0,boards_negative,1,2025-10-11.Team.A.@.Team.D__0073
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,854,856,1622.0,1626.0,4.0,2,2,12:58,12:54,Takeaway,Dump In/Out,-87.0,-8.5,-51.0,39.5,forced_dump_out,0,1,0,0,0,boards_positive,1,2025-10-11.Team.A.@.Team.D__0074
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team D,Team A,857,858,1629.0,1630.0,1.0,2,2,12:51,12:50,Puck Recovery,Play,38.0,35.5,20.0,38.5,controlled_exit_allowed,0,0,1,0,0,boards_positive,1,2025-10-11.Team.A.@.Team.D__0075
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,862,863,1638.0,1640.0,2.0,2,2,12:42,12:40,Puck Recovery,Play,-26.0,35.5,5.0,23.5,controlled_exit_allowed,0,0,1,0,0,boards_positive,1,2025-10-11.Team.A.@.Team.D__0076
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team D,Team A,874,878,1654.0,1659.0,5.0,2,2,12:26,12:21,Puck Recovery,Takeaway,92.0,-28.5,78.0,-37.5,turnover_in_dzone,1,0,0,0,0,boards_negative,1,2025-10-11.Team.A.@.Team.D__0077
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team D,Team A,884,887,1668.0,1674.0,6.0,2,2,12:12,12:06,Puck Recovery,Play,93.0,6.5,10.0,-36.5,controlled_exit_allowed,0,0,1,0,0,boards_negative,1,2025-10-11.Team.A.@.Team.D__0078
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,893,902,1689.0,1703.0,14.0,2,2,11:51,11:37,Puck Recovery,Dump In/Out,-79.0,-31.5,-37.0,39.5,forced_dump_out,0,1,0,0,0,boards_positive,1,2025-10-11.Team.A.@.Team.D__0079
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team D,Team A,903,911,1707.0,1729.0,22.0,2,2,11:33,11:11,Puck Recovery,Zone Entry,92.0,25.5,-26.0,39.5,controlled_exit_allowed,0,0,1,0,0,boards_positive,1,2025-10-11.Team.A.@.Team.D__0080
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team D,Team A,909,911,1725.0,1729.0,4.0,2,2,11:15,11:11,Puck Recovery,Zone Entry,73.0,27.5,-26.0,39.5,controlled_exit_allowed,0,0,1,0,0,boards_positive,1,2025-10-11.Team.A.@.Team.D__0081
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,916,919,1739.0,1741.0,2.0,2,2,11:01,10:59,Takeaway,Dump In/Out,-43.0,26.5,-10.0,39.5,forced_dump_out,0,1,0,0,0,boards_positive,1,2025-10-11.Team.A.@.Team.D__0082
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team D,Team A,945,949,1792.0,1798.0,6.0,2,2,10:08,10:02,Puck Recovery,Zone Entry,87.0,-13.5,-26.0,-26.5,controlled_exit_allowed,0,0,1,0,0,boards_negative,1,2025-10-11.Team.A.@.Team.D__0083
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,959,962,1817.0,1824.0,7.0,2,2,09:43,09:36,Faceoff Win,Puck Recovery,-69.0,22.5,-49.0,39.5,turnover_in_dzone,1,0,0,0,0,boards_positive,1,2025-10-11.Team.A.@.Team.D__0084
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,964,973,1828.0,1845.0,17.0,2,2,09:32,09:15,Takeaway,Takeaway,-57.0,36.5,-60.0,39.5,turnover_in_dzone,1,0,0,0,0,boards_positive,1,2025-10-11.Team.A.@.Team.D__0085
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,975,977,1849.0,1851.0,2.0,2,2,09:11,09:09,Puck Recovery,Dump In/Out,-79.0,36.5,-45.0,40.5,forced_dump_out,0,1,0,0,0,boards_positive,1,2025-10-11.Team.A.@.Team.D__0086
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,980,981,1855.0,1857.0,2.0,2,2,09:05,09:03,Faceoff Win,Faceoff Win,-69.0,22.5,-69.0,22.5,stoppage,0,0,0,1,0,boards_positive,1,2025-10-11.Team.A.@.Team.D__0087
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,981,985,1857.0,1861.0,4.0,2,2,09:03,08:59,Faceoff Win,Dump In/Out,-69.0,22.5,-80.0,-30.5,forced_dump_out,0,1,0,0,0,boards_negative,1,2025-10-11.Team.A.@.Team.D__0088
