possession_id,game_id,attacking_team,defending_team,start_elapsed_seconds,end_elapsed_seconds,duration_seconds,start_period_label,end_period_label,start_event,end_event,start_x,start_y,end_x,end_y,end_reason,shot_or_goal_in_possession,slot_shot_or_goal_in_possession,n_events
2025-10-11.Team.A.@.Team.D__pos_0012,2025-10-11.Team.A.@.Team.D,Team A,Team D,44.0,48.0,4.0,1,1,Play,Puck Recovery,-82.0,35.5,-72.0,3.5,turnover_or_recovery,1,1,5
2025-10-11.Team.A.@.Team.D__pos_0013,2025-10-11.Team.A.@.Team.D,Team A,Team D,47.0,48.0,1.0,1,1,Puck Recovery,Puck Recovery,-81.0,0.5,-72.0,3.5,turnover_or_recovery,1,1,2
2025-10-11.Team.A.@.Team.D__pos_0014,2025-10-11.Team.A.@.Team.D,Team D,Team A,60.0,64.0,4.0,1,1,Puck Recovery,Puck Recovery,25.0,40.5,96.0,6.5,turnover_or_recovery,0,0,3
2025-10-11.Team.A.@.Team.D__pos_0015,2025-10-11.Team.A.@.Team.D,Team D,Team A,60.0,64.0,4.0,1,1,Zone Entry,Puck Recovery,25.0,40.5,96.0,6.5,turnover_or_recovery,0,0,3
2025-10-11.Team.A.@.Team.D__pos_0016,2025-10-11.Team.A.@.Team.D,Team A,Team D,72.0,75.0,3.0,1,1,Zone Entry,Puck Recovery,-26.0,-38.5,-63.0,-35.5,turnover_or_recovery,0,0,3
2025-10-11.Team.A.@.Team.D__pos_0017,2025-10-11.Team.A.@.Team.D,Team A,Team D,73.0,75.0,2.0,1,1,Play,Puck Recovery,-45.0,-38.5,-63.0,-35.5,turnover_or_recovery,0,0,2
2025-10-11.Team.A.@.Team.D__pos_0018,2025-10-11.Team.A.@.Team.D,Team D,Team A,79.0,94.0,15.0,1,1,Zone Entry,Puck Recovery,25.0,-31.5,71.0,38.5,turnover_or_recovery,0,0,6
2025-10-11.Team.A.@.Team.D__pos_0019,2025-10-11.Team.A.@.Team.D,Team D,Team A,82.0,94.0,12.0,1,1,Play,Puck Recovery,40.0,-37.5,71.0,38.5,turnover_or_recovery,0,0,5
2025-10-11.Team.A.@.Team.D__pos_0020,2025-10-11.Team.A.@.Team.D,Team D,Team A,88.0,94.0,6.0,1,1,Play,Puck Recovery,74.0,-27.5,71.0,38.5,turnover_or_recovery,0,0,4
2025-10-11.Team.A.@.Team.D__pos_0021,2025-10-11.Team.A.@.Team.D,Team D,Team A,89.0,94.0,5.0,1,1,Play,Puck Recovery,69.0,-2.5,71.0,38.5,turnover_or_recovery,0,0,3
2025-10-11.Team.A.@.Team.D__pos_0022,2025-10-11.Team.A.@.Team.D,Team D,Team A,90.0,94.0,4.0,1,1,Play,Puck Recovery,44.0,-31.5,71.0,38.5,turnover_or_recovery,0,0,2
2025-10-11.Team.A.@.Team.D__pos_0023,2025-10-11.Team.A.@.Team.D,Team D,Team A,91.0,94.0,3.0,1,1,Play,Puck Recovery,37.0,-15.5,71.0,38.5,turnover_or_recovery,0,0,1
2025-10-11.Team.A.@.Team.D__pos_0024,2025-10-11.Team.A.@.Team.D,Team D,Team A,95.0,101.0,6.0,1,1,Puck Recovery,Play,28.0,39.5,-41.0,-1.5,zone_exit,0,0,3
2025-10-11.Team.A.@.Team.D__pos_0025,2025-10-11.Team.A.@.Team.D,Team D,Team A,96.0,101.0,5.0,1,1,Play,Play,28.0,39.5,-41.0,-1.5,zone_exit,0,0,2
2025-10-11.Team.A.@.Team.D__pos_0026,2025-10-11.Team.A.@.Team.D,Team D,Team A,121.0,124.0,3.0,1,1,Faceoff Win,Faceoff Win,69.0,22.5,69.0,22.5,turnover_or_recovery,1,0,3
2025-10-11.Team.A.@.Team.D__pos_0027,2025-10-11.Team.A.@.Team.D,Team D,Team A,122.0,124.0,2.0,1,1,Puck Recovery,Faceoff Win,56.0,28.5,69.0,22.5,turnover_or_recovery,1,0,2
2025-10-11.Team.A.@.Team.D__pos_0028,2025-10-11.Team.A.@.Team.D,Team D,Team A,130.0,134.0,4.0,1,1,Play,Puck Recovery,33.0,-34.5,70.0,39.5,turnover_or_recovery,0,0,3
2025-10-11.Team.A.@.Team.D__pos_0029,2025-10-11.Team.A.@.Team.D,Team D,Team A,130.0,134.0,4.0,1,1,Puck Recovery,Puck Recovery,33.0,-34.5,70.0,39.5,turnover_or_recovery,0,0,3
2025-10-11.Team.A.@.Team.D__pos_0030,2025-10-11.Team.A.@.Team.D,Team D,Team A,135.0,147.0,12.0,1,1,Takeaway,Faceoff Win,46.0,39.5,69.0,22.5,turnover_or_recovery,0,0,4
2025-10-11.Team.A.@.Team.D__pos_0031,2025-10-11.Team.A.@.Team.D,Team D,Team A,137.0,147.0,10.0,1,1,Play,Faceoff Win,43.0,39.5,69.0,22.5,turnover_or_recovery,0,0,3
2025-10-11.Team.A.@.Team.D__pos_0032,2025-10-11.Team.A.@.Team.D,Team D,Team A,138.0,147.0,9.0,1,1,Play,Faceoff Win,51.0,34.5,69.0,22.5,turnover_or_recovery,0,0,2
2025-10-11.Team.A.@.Team.D__pos_0033,2025-10-11.Team.A.@.Team.D,Team D,Team A,143.0,147.0,4.0,1,1,Play,Faceoff Win,39.0,38.5,69.0,22.5,turnover_or_recovery,0,0,1
2025-10-11.Team.A.@.Team.D__pos_0034,2025-10-11.Team.A.@.Team.D,Team D,Team A,173.0,177.0,4.0,1,1,Zone Entry,Puck Recovery,25.0,38.5,95.0,19.5,turnover_or_recovery,0,0,3
2025-10-11.Team.A.@.Team.D__pos_0035,2025-10-11.Team.A.@.Team.D,Team D,Team A,176.0,177.0,1.0,1,1,Puck Recovery,Puck Recovery,87.0,37.5,95.0,19.5,turnover_or_recovery,0,0,2
2025-10-11.Team.A.@.Team.D__pos_0036,2025-10-11.Team.A.@.Team.D,Team D,Team A,176.0,177.0,1.0,1,1,Play,Puck Recovery,87.0,37.5,95.0,19.5,turnover_or_recovery,0,0,2
2025-10-11.Team.A.@.Team.D__pos_0037,2025-10-11.Team.A.@.Team.D,Team D,Team A,179.0,182.0,3.0,1,1,Puck Recovery,Puck Recovery,50.0,40.5,85.0,37.5,turnover_or_recovery,0,0,2
2025-10-11.Team.A.@.Team.D__pos_0038,2025-10-11.Team.A.@.Team.D,Team D,Team A,183.0,192.0,9.0,1,1,Puck Recovery,Play,96.0,6.5,23.0,-38.5,zone_exit,0,0,5
2025-10-11.Team.A.@.Team.D__pos_0039,2025-10-11.Team.A.@.Team.D,Team D,Team A,185.0,192.0,7.0,1,1,Play,Play,96.0,5.5,23.0,-38.5,zone_exit,0,0,4
2025-10-11.Team.A.@.Team.D__pos_0040,2025-10-11.Team.A.@.Team.D,Team D,Team A,187.0,192.0,5.0,1,1,Play,Play,76.0,-33.5,23.0,-38.5,zone_exit,0,0,3
2025-10-11.Team.A.@.Team.D__pos_0041,2025-10-11.Team.A.@.Team.D,Team D,Team A,190.0,192.0,2.0,1,1,Play,Play,31.0,4.5,23.0,-38.5,zone_exit,0,0,2
2025-10-11.Team.A.@.Team.D__pos_0042,2025-10-11.Team.A.@.Team.D,Team A,Team D,195.0,204.0,9.0,1,1,Faceoff Win,Puck Recovery,-69.0,-21.5,-92.0,-20.5,turnover_or_recovery,0,0,3
2025-10-11.Team.A.@.Team.D__pos_0043,2025-10-11.Team.A.@.Team.D,Team A,Team D,200.0,204.0,4.0,1,1,Puck Recovery,Puck Recovery,-30.0,-34.5,-92.0,-20.5,turnover_or_recovery,0,0,2
2025-10-11.Team.A.@.Team.D__pos_0044,2025-10-11.Team.A.@.Team.D,Team A,Team D,200.0,204.0,4.0,1,1,Play,Puck Recovery,-30.0,-34.5,-92.0,-20.5,turnover_or_recovery,0,0,2
2025-10-11.Team.A.@.Team.D__pos_0045,2025-10-11.Team.A.@.Team.D,Team A,Team D,207.0,210.0,3.0,1,1,Puck Recovery,Puck Recovery,-39.0,-18.5,-70.0,22.5,turnover_or_recovery,0,0,2
2025-10-11.Team.A.@.Team.D__pos_0046,2025-10-11.Team.A.@.Team.D,Team A,Team D,209.0,210.0,1.0,1,1,Play,Puck Recovery,-44.0,29.5,-70.0,22.5,turnover_or_recovery,0,0,1
2025-10-11.Team.A.@.Team.D__pos_0047,2025-10-11.Team.A.@.Team.D,Team A,Team D,221.0,230.0,9.0,1,1,Zone Entry,Puck Recovery,-26.0,32.5,-77.0,32.5,turnover_or_recovery,1,1,6
2025-10-11.Team.A.@.Team.D__pos_0048,2025-10-11.Team.A.@.Team.D,Team A,Team D,222.0,230.0,8.0,1,1,Play,Puck Recovery,-62.0,32.5,-77.0,32.5,turnover_or_recovery,1,1,5
2025-10-11.Team.A.@.Team.D__pos_0049,2025-10-11.Team.A.@.Team.D,Team A,Team D,225.0,230.0,5.0,1,1,Play,Puck Recovery,-82.0,-34.5,-77.0,32.5,turnover_or_recovery,1,0,3
2025-10-11.Team.A.@.Team.D__pos_0050,2025-10-11.Team.A.@.Team.D,Team A,Team D,225.0,230.0,5.0,1,1,Puck Recovery,Puck Recovery,-82.0,-34.5,-77.0,32.5,turnover_or_recovery,1,0,3
2025-10-11.Team.A.@.Team.D__pos_0051,2025-10-11.Team.A.@.Team.D,Team A,Team D,233.0,237.0,4.0,1,1,Takeaway,Faceoff Win,-33.0,20.5,-69.0,-21.5,turnover_or_recovery,1,0,2
2025-10-11.Team.A.@.Team.D__pos_0052,2025-10-11.Team.A.@.Team.D,Team D,Team A,244.0,248.0,4.0,1,1,Zone Entry,Puck Recovery,25.0,38.5,63.0,-37.5,turnover_or_recovery,0,0,2
2025-10-11.Team.A.@.Team.D__pos_0053,2025-10-11.Team.A.@.Team.D,Team A,Team D,253.0,258.0,5.0,1,1,Zone Entry,Puck Recovery,-25.0,-38.5,-66.0,-33.5,turnover_or_recovery,0,0,2
2025-10-11.Team.A.@.Team.D__pos_0054,2025-10-11.Team.A.@.Team.D,Team A,Team D,276.0,278.0,2.0,1,1,Zone Entry,Puck Recovery,-25.0,-37.5,-83.0,-27.5,turnover_or_recovery,0,0,1
2025-10-11.Team.A.@.Team.D__pos_0055,2025-10-11.Team.A.@.Team.D,Team D,Team A,285.0,299.0,14.0,1,1,Play,Takeaway,45.0,-36.5,93.0,25.5,turnover_or_recovery,1,0,5
2025-10-11.Team.A.@.Team.D__pos_0056,2025-10-11.Team.A.@.Team.D,Team D,Team A,289.0,299.0,10.0,1,1,Puck Recovery,Takeaway,56.0,37.5,93.0,25.5,turnover_or_recovery,0,0,3
2025-10-11.Team.A.@.Team.D__pos_0057,2025-10-11.Team.A.@.Team.D,Team D,Team A,292.0,299.0,7.0,1,1,Play,Takeaway,52.0,39.5,93.0,25.5,turnover_or_recovery,0,0,2
2025-10-11.Team.A.@.Team.D__pos_0058,2025-10-11.Team.A.@.Team.D,Team A,Team D,324.0,324.0,0.0,1,1,Zone Entry,Dump In/Out,-26.0,-37.5,-8.0,-34.5,zone_exit,0,0,2
2025-10-11.Team.A.@.Team.D__pos_0059,2025-10-11.Team.A.@.Team.D,Team A,Team D,327.0,340.0,13.0,1,1,Play,Incomplete Play,-76.0,40.5,94.0,9.5,zone_exit,0,0,6
2025-10-11.Team.A.@.Team.D__pos_0060,2025-10-11.Team.A.@.Team.D,Team A,Team D,327.0,340.0,13.0,1,1,Puck Recovery,Incomplete Play,-76.0,40.5,94.0,9.5,zone_exit,0,0,6
2025-10-11.Team.A.@.Team.D__pos_0061,2025-10-11.Team.A.@.Team.D,Team A,Team D,329.0,340.0,11.0,1,1,Play,Incomplete Play,-74.0,40.5,94.0,9.5,zone_exit,0,0,4
2025-10-11.Team.A.@.Team.D__pos_0062,2025-10-11.Team.A.@.Team.D,Team A,Team D,331.0,340.0,9.0,1,1,Play,Incomplete Play,-74.0,40.5,94.0,9.5,zone_exit,0,0,3
2025-10-11.Team.A.@.Team.D__pos_0063,2025-10-11.Team.A.@.Team.D,Team D,Team A,340.0,342.0,2.0,1,1,Takeaway,Faceoff Win,97.0,3.5,-69.0,-21.5,turnover_or_recovery,0,0,2
2025-10-11.Team.A.@.Team.D__pos_0064,2025-10-11.Team.A.@.Team.D,Team D,Team A,469.0,473.0,4.0,1,1,Zone Entry,Puck Recovery,25.0,-37.5,86.0,-6.5,turnover_or_recovery,1,0,2
2025-10-11.Team.A.@.Team.D__pos_0065,2025-10-11.Team.A.@.Team.D,Team A,Team D,490.0,490.0,0.0,1,1,Zone Entry,Dump In/Out,-26.0,-37.5,-1.0,-35.5,zone_exit,0,0,2
2025-10-11.Team.A.@.Team.D__pos_0066,2025-10-11.Team.A.@.Team.D,Team A,Team D,497.0,525.0,28.0,1,1,Puck Recovery,Puck Recovery,-59.0,19.5,-67.0,-6.5,turnover_or_recovery,1,1,12
2025-10-11.Team.A.@.Team.D__pos_0067,2025-10-11.Team.A.@.Team.D,Team A,Team D,501.0,525.0,24.0,1,1,Puck Recovery,Puck Recovery,-70.0,-7.5,-67.0,-6.5,turnover_or_recovery,1,1,10
2025-10-11.Team.A.@.Team.D__pos_0068,2025-10-11.Team.A.@.Team.D,Team A,Team D,502.0,525.0,23.0,1,1,Play,Puck Recovery,-71.0,-13.5,-67.0,-6.5,turnover_or_recovery,1,1,9
2025-10-11.Team.A.@.Team.D__pos_0069,2025-10-11.Team.A.@.Team.D,Team A,Team D,503.0,525.0,22.0,1,1,Play,Puck Recovery,-34.0,-12.5,-67.0,-6.5,turnover_or_recovery,1,1,8
2025-10-11.Team.A.@.Team.D__pos_0070,2025-10-11.Team.A.@.Team.D,Team A,Team D,507.0,525.0,18.0,1,1,Play,Puck Recovery,-34.0,21.5,-67.0,-6.5,turnover_or_recovery,1,1,7
2025-10-11.Team.A.@.Team.D__pos_0071,2025-10-11.Team.A.@.Team.D,Team A,Team D,512.0,525.0,13.0,1,1,Puck Recovery,Puck Recovery,-89.0,-24.5,-67.0,-6.5,turnover_or_recovery,1,0,5
2025-10-11.Team.A.@.Team.D__pos_0072,2025-10-11.Team.A.@.Team.D,Team A,Team D,513.0,525.0,12.0,1,1,Play,Puck Recovery,-86.0,-32.5,-67.0,-6.5,turnover_or_recovery,1,0,4
2025-10-11.Team.A.@.Team.D__pos_0073,2025-10-11.Team.A.@.Team.D,Team A,Team D,518.0,525.0,7.0,1,1,Play,Puck Recovery,-44.0,36.5,-67.0,-6.5,turnover_or_recovery,1,0,3
2025-10-11.Team.A.@.Team.D__pos_0074,2025-10-11.Team.A.@.Team.D,Team A,Team D,520.0,525.0,5.0,1,1,Play,Puck Recovery,-34.0,-4.5,-67.0,-6.5,turnover_or_recovery,1,0,2
2025-10-11.Team.A.@.Team.D__pos_0075,2025-10-11.Team.A.@.Team.D,Team D,Team A,529.0,542.0,13.0,1,1,Play,Puck Recovery,35.0,25.5,74.0,11.5,turnover_or_recovery,1,1,11
2025-10-11.Team.A.@.Team.D__pos_0076,2025-10-11.Team.A.@.Team.D,Team D,Team A,529.0,542.0,13.0,1,1,Zone Entry,Puck Recovery,25.0,23.5,74.0,11.5,turnover_or_recovery,1,1,11
2025-10-11.Team.A.@.Team.D__pos_0077,2025-10-11.Team.A.@.Team.D,Team D,Team A,530.0,542.0,12.0,1,1,Play,Puck Recovery,43.0,-2.5,74.0,11.5,turnover_or_recovery,1,1,9
2025-10-11.Team.A.@.Team.D__pos_0078,2025-10-11.Team.A.@.Team.D,Team D,Team A,530.0,542.0,12.0,1,1,Play,Puck Recovery,66.0,14.5,74.0,11.5,turnover_or_recovery,1,1,9
2025-10-11.Team.A.@.Team.D__pos_0079,2025-10-11.Team.A.@.Team.D,Team D,Team A,533.0,542.0,9.0,1,1,Puck Recovery,Puck Recovery,93.0,-21.5,74.0,11.5,turnover_or_recovery,1,0,6
2025-10-11.Team.A.@.Team.D__pos_0080,2025-10-11.Team.A.@.Team.D,Team D,Team A,534.0,542.0,8.0,1,1,Play,Puck Recovery,95.0,-19.5,74.0,11.5,turnover_or_recovery,1,0,5
2025-10-11.Team.A.@.Team.D__pos_0081,2025-10-11.Team.A.@.Team.D,Team D,Team A,535.0,542.0,7.0,1,1,Play,Puck Recovery,94.0,18.5,74.0,11.5,turnover_or_recovery,1,0,4
2025-10-11.Team.A.@.Team.D__pos_0082,2025-10-11.Team.A.@.Team.D,Team D,Team A,538.0,542.0,4.0,1,1,Puck Recovery,Puck Recovery,93.0,8.5,74.0,11.5,turnover_or_recovery,0,0,2
2025-10-11.Team.A.@.Team.D__pos_0083,2025-10-11.Team.A.@.Team.D,Team D,Team A,540.0,542.0,2.0,1,1,Play,Puck Recovery,92.0,15.5,74.0,11.5,turnover_or_recovery,0,0,1
2025-10-11.Team.A.@.Team.D__pos_0084,2025-10-11.Team.A.@.Team.D,Team D,Team A,545.0,557.0,12.0,1,1,Puck Recovery,Play,31.0,7.5,-20.0,14.5,zone_exit,1,0,8
2025-10-11.Team.A.@.Team.D__pos_0085,2025-10-11.Team.A.@.Team.D,Team D,Team A,545.0,557.0,12.0,1,1,Play,Play,31.0,7.5,-20.0,14.5,zone_exit,1,0,8
2025-10-11.Team.A.@.Team.D__pos_0086,2025-10-11.Team.A.@.Team.D,Team D,Team A,551.0,557.0,6.0,1,1,Faceoff Win,Play,69.0,-21.5,-20.0,14.5,zone_exit,0,0,5
2025-10-11.Team.A.@.Team.D__pos_0087,2025-10-11.Team.A.@.Team.D,Team D,Team A,554.0,557.0,3.0,1,1,Puck Recovery,Play,69.0,-21.5,-20.0,14.5,zone_exit,0,0,4
2025-10-11.Team.A.@.Team.D__pos_0088,2025-10-11.Team.A.@.Team.D,Team D,Team A,561.0,565.0,4.0,1,1,Zone Entry,Puck Recovery,25.0,-6.5,90.0,29.5,turnover_or_recovery,0,0,1
2025-10-11.Team.A.@.Team.D__pos_0089,2025-10-11.Team.A.@.Team.D,Team D,Team A,575.0,577.0,2.0,1,1,Zone Entry,Puck Recovery,25.0,-38.5,79.0,37.5,turnover_or_recovery,0,0,2
2025-10-11.Team.A.@.Team.D__pos_0090,2025-10-11.Team.A.@.Team.D,Team D,Team A,582.0,587.0,5.0,1,1,Takeaway,Faceoff Win,48.0,-39.5,69.0,-21.5,turnover_or_recovery,1,0,2
2025-10-11.Team.A.@.Team.D__pos_0091,2025-10-11.Team.A.@.Team.D,Team D,Team A,598.0,607.0,9.0,1,1,Play,Puck Recovery,50.0,-32.5,59.0,-26.5,turnover_or_recovery,0,0,4
2025-10-11.Team.A.@.Team.D__pos_0092,2025-10-11.Team.A.@.Team.D,Team D,Team A,598.0,607.0,9.0,1,1,Puck Recovery,Puck Recovery,50.0,-32.5,59.0,-26.5,turnover_or_recovery,0,0,4
2025-10-11.Team.A.@.Team.D__pos_0093,2025-10-11.Team.A.@.Team.D,Team D,Team A,599.0,607.0,8.0,1,1,Play,Puck Recovery,66.0,-36.5,59.0,-26.5,turnover_or_recovery,0,0,2
2025-10-11.Team.A.@.Team.D__pos_0094,2025-10-11.Team.A.@.Team.D,Team D,Team A,605.0,607.0,2.0,1,1,Play,Puck Recovery,83.0,-33.5,59.0,-26.5,turnover_or_recovery,0,0,1
2025-10-11.Team.A.@.Team.D__pos_0095,2025-10-11.Team.A.@.Team.D,Team D,Team A,610.0,612.0,2.0,1,1,Play,Puck Recovery,33.0,39.5,95.0,-14.5,turnover_or_recovery,0,0,2
2025-10-11.Team.A.@.Team.D__pos_0096,2025-10-11.Team.A.@.Team.D,Team D,Team A,610.0,612.0,2.0,1,1,Puck Recovery,Puck Recovery,33.0,39.5,95.0,-14.5,turnover_or_recovery,0,0,2
2025-10-11.Team.A.@.Team.D__pos_0097,2025-10-11.Team.A.@.Team.D,Team A,Team D,618.0,635.0,17.0,1,1,Zone Entry,Puck Recovery,-25.0,34.5,-71.0,27.5,turnover_or_recovery,1,0,9
2025-10-11.Team.A.@.Team.D__pos_0098,2025-10-11.Team.A.@.Team.D,Team A,Team D,620.0,635.0,15.0,1,1,Play,Puck Recovery,-44.0,40.5,-71.0,27.5,turnover_or_recovery,1,0,7
2025-10-11.Team.A.@.Team.D__pos_0099,2025-10-11.Team.A.@.Team.D,Team A,Team D,624.0,635.0,11.0,1,1,Puck Recovery,Puck Recovery,-81.0,-36.5,-71.0,27.5,turnover_or_recovery,1,0,6
2025-10-11.Team.A.@.Team.D__pos_0100,2025-10-11.Team.A.@.Team.D,Team A,Team D,624.0,635.0,11.0,1,1,Play,Puck Recovery,-81.0,-36.5,-71.0,27.5,turnover_or_recovery,1,0,6
2025-10-11.Team.A.@.Team.D__pos_0101,2025-10-11.Team.A.@.Team.D,Team A,Team D,627.0,635.0,8.0,1,1,Play,Puck Recovery,-94.0,-8.5,-71.0,27.5,turnover_or_recovery,1,0,4
2025-10-11.Team.A.@.Team.D__pos_0102,2025-10-11.Team.A.@.Team.D,Team A,Team D,633.0,635.0,2.0,1,1,Puck Recovery,Puck Recovery,-69.0,-28.5,-71.0,27.5,turnover_or_recovery,0,0,2
2025-10-11.Team.A.@.Team.D__pos_0103,2025-10-11.Team.A.@.Team.D,Team D,Team A,652.0,656.0,4.0,1,1,Zone Entry,Faceoff Win,25.0,8.5,69.0,-21.5,turnover_or_recovery,1,0,2
2025-10-11.Team.A.@.Team.D__pos_0104,2025-10-11.Team.A.@.Team.D,Team A,Team D,673.0,675.0,2.0,1,1,Zone Entry,Faceoff Win,-25.0,33.5,-69.0,22.5,turnover_or_recovery,1,0,2
2025-10-11.Team.A.@.Team.D__pos_0105,2025-10-11.Team.A.@.Team.D,Team D,Team A,681.0,681.0,0.0,1,1,Zone Entry,Dump In/Out,25.0,-38.5,2.0,-35.5,zone_exit,0,0,2
2025-10-11.Team.A.@.Team.D__pos_0106,2025-10-11.Team.A.@.Team.D,Team D,Team A,688.0,704.0,16.0,1,1,Puck Recovery,Takeaway,39.0,-36.5,84.0,-4.5,turnover_or_recovery,1,0,10
2025-10-11.Team.A.@.Team.D__pos_0107,2025-10-11.Team.A.@.Team.D,Team D,Team A,690.0,704.0,14.0,1,1,Play,Takeaway,49.0,-35.5,84.0,-4.5,turnover_or_recovery,1,0,9
2025-10-11.Team.A.@.Team.D__pos_0108,2025-10-11.Team.A.@.Team.D,Team D,Team A,692.0,704.0,12.0,1,1,Play,Takeaway,74.0,-15.5,84.0,-4.5,turnover_or_recovery,1,0,8
2025-10-11.Team.A.@.Team.D__pos_0109,2025-10-11.Team.A.@.Team.D,Team D,Team A,694.0,704.0,10.0,1,1,Puck Recovery,Takeaway,70.0,24.5,84.0,-4.5,turnover_or_recovery,1,0,6
2025-10-11.Team.A.@.Team.D__pos_0110,2025-10-11.Team.A.@.Team.D,Team D,Team A,696.0,704.0,8.0,1,1,Play,Takeaway,70.0,38.5,84.0,-4.5,turnover_or_recovery,1,0,5
2025-10-11.Team.A.@.Team.D__pos_0111,2025-10-11.Team.A.@.Team.D,Team D,Team A,701.0,704.0,3.0,1,1,Play,Takeaway,63.0,-34.5,84.0,-4.5,turnover_or_recovery,0,0,3
2025-10-11.Team.A.@.Team.D__pos_0112,2025-10-11.Team.A.@.Team.D,Team D,Team A,701.0,704.0,3.0,1,1,Puck Recovery,Takeaway,63.0,-34.5,84.0,-4.5,turnover_or_recovery,0,0,3
2025-10-11.Team.A.@.Team.D__pos_0113,2025-10-11.Team.A.@.Team.D,Team A,Team D,708.0,709.0,1.0,1,1,Zone Entry,Puck Recovery,-25.0,-14.5,-37.0,-20.5,turnover_or_recovery,0,0,3
2025-10-11.Team.A.@.Team.D__pos_0114,2025-10-11.Team.A.@.Team.D,Team A,Team D,720.0,724.0,4.0,1,1,Zone Entry,Puck Recovery,-25.0,-34.5,-95.0,13.5,turnover_or_recovery,0,0,2
2025-10-11.Team.A.@.Team.D__pos_0115,2025-10-11.Team.A.@.Team.D,Team A,Team D,725.0,734.0,9.0,1,1,Takeaway,Puck Recovery,-95.0,12.5,-98.0,5.5,turnover_or_recovery,1,1,7
2025-10-11.Team.A.@.Team.D__pos_0116,2025-10-11.Team.A.@.Team.D,Team A,Team D,726.0,734.0,8.0,1,1,Play,Puck Recovery,-95.0,12.5,-98.0,5.5,turnover_or_recovery,1,1,6
2025-10-11.Team.A.@.Team.D__pos_0117,2025-10-11.Team.A.@.Team.D,Team A,Team D,728.0,734.0,6.0,1,1,Puck Recovery,Puck Recovery,-85.0,10.5,-98.0,5.5,turnover_or_recovery,1,1,4
2025-10-11.Team.A.@.Team.D__pos_0118,2025-10-11.Team.A.@.Team.D,Team A,Team D,732.0,734.0,2.0,1,1,Play,Puck Recovery,-94.0,10.5,-98.0,5.5,turnover_or_recovery,0,0,2
2025-10-11.Team.A.@.Team.D__pos_0119,2025-10-11.Team.A.@.Team.D,Team A,Team D,732.0,734.0,2.0,1,1,Puck Recovery,Puck Recovery,-94.0,10.5,-98.0,5.5,turnover_or_recovery,0,0,2
